665 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
830 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
450 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
1015 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
1775 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
890 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
395 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
930 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
960 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
590 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
1105 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
775 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
785 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
880 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
840 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
700 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
755 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
800 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
690 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
580 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
905 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
1250 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
2755 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
690 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
655 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
1270 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
650 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
420 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
555 <_io.TextIOWrapper name='data/onemax/lea: n_deg=6, lam=logn, q=0.01.txt' mode='w' encoding='UTF-8'>
